"id_transaksi","id_stasiun","tanggal","durasi_menit","energi_kwh","status","pendapatan"
"TRX00096","ST010",2026-02-28,62,50.13,"Selesai",125325
"TRX00097","ST001",2026-04-04,56,24.11,"Selesai",60275
"TRX00098","ST002",2026-03-16,29,14.84,"Gagal",0
"TRX00099","ST010",2026-02-02,63,47.06,"Gagal",0
"TRX00100","ST007",2026-04-26,38,12.15,"Selesai",30375
"TRX00101","ST007",2026-04-12,49,49.88,"Gagal",0
"TRX00102","ST003",2026-06-20,65,32.37,"Selesai",80925
"TRX00103","ST003",2026-05-24,50,53.35,"Selesai",133375
"TRX00104","ST001",2026-02-25,38,10.75,"Selesai",26875
"TRX00105","ST005",2026-04-18,52,53.08,"Selesai",132700
"TRX00106","ST005",2026-06-19,39,37.13,"Selesai",92825
"TRX00107","ST010",2026-01-08,41,35.99,"Selesai",89975
"TRX00108","ST010",2026-04-30,73,20.91,"Gagal",0
"TRX00109","ST002",2026-03-01,62,37.77,"Selesai",94425
"TRX00110","ST004",2026-06-17,48,19.57,"Gagal",0
"TRX00111","ST007",2026-06-16,25,28.29,"Selesai",70725
"TRX00112","ST009",2026-06-23,71,8.04,"Gagal",0
"TRX00113","ST010",2026-04-21,58,35.98,"Selesai",89950
"TRX00114","ST006",2026-02-16,25,5.36,"Gagal",0
"TRX00115","ST002",2026-01-11,59,57.65,"Selesai",144125
"TRX00116","ST002",2026-02-20,56,52.66,"Selesai",131650
"TRX00117","ST004",2026-06-27,55,7.74,"Selesai",19350
"TRX00118","ST001",2026-05-23,54,57.85,"Selesai",144625
"TRX00119","ST007",2026-03-24,54,56.43,"Gagal",0
"TRX00120","ST009",2026-03-28,52,54.25,"Selesai",135625
"TRX00121","ST001",2026-04-29,60,26.27,"Selesai",65675
"TRX00122","ST006",2026-01-25,36,30.71,"Selesai",76775
"TRX00123","ST002",2026-01-03,48,25.86,"Selesai",64650
"TRX00124","ST002",2026-04-02,47,35.72,"Gagal",0
"TRX00125","ST010",2026-06-19,47,50.56,"Selesai",126400
"TRX00126","ST006",2026-01-16,32,40.12,"Gagal",0
"TRX00127","ST008",2026-01-21,49,14.2,"Selesai",35500
"TRX00128","ST005",2026-01-27,42,25.24,"Selesai",63100
"TRX00129","ST003",2026-06-08,54,48.19,"Selesai",120475
"TRX00130","ST010",2026-06-10,47,42.89,"Selesai",107225
"TRX00131","ST008",2026-02-27,34,36.71,"Selesai",91775
"TRX00132","ST007",2026-04-17,54,48.82,"Selesai",122050
"TRX00133","ST007",2026-04-01,52,36.8,"Selesai",92000
"TRX00134","ST005",2026-06-12,37,50.56,"Gagal",0
"TRX00135","ST008",2026-03-10,40,22.31,"Selesai",55775
"TRX00136","ST002",2026-01-28,77,53.29,"Selesai",133225
"TRX00137","ST009",2026-02-15,47,47.65,"Selesai",119125
"TRX00138","ST004",2026-06-25,38,23.52,"Gagal",0
"TRX00139","ST010",2026-06-14,36,49.58,"Selesai",123950
"TRX00140","ST007",2026-02-07,54,39.71,"Selesai",99275
"TRX00141","ST003",2026-05-29,51,20.49,"Selesai",51225
"TRX00142","ST004",2026-05-12,54,30.17,"Selesai",75425
"TRX00143","ST006",2026-05-13,40,26.75,"Selesai",66875
"TRX00144","ST009",2026-03-29,36,10.45,"Selesai",26125
"TRX00145","ST010",2026-02-27,21,47.77,"Selesai",119425
"TRX00146","ST009",2026-05-20,55,15.01,"Selesai",37525
"TRX00147","ST003",2026-01-28,75,46.18,"Selesai",115450
"TRX00148","ST005",2026-03-04,18,26.35,"Selesai",65875
"TRX00149","ST001",2026-06-19,55,6.99,"Selesai",17475
"TRX00150","ST003",2026-04-22,24,38.28,"Selesai",95700
"TRX00151","ST010",2026-02-05,39,35.5,"Selesai",88750
"TRX00152","ST001",2026-05-10,43,53.93,"Gagal",0
"TRX00153","ST009",2026-05-05,49,8.27,"Gagal",0
"TRX00154","ST006",2026-01-12,39,48.69,"Gagal",0
"TRX00155","ST007",2026-06-22,55,48.51,"Selesai",121275
"TRX00156","ST009",2026-01-01,39,10.83,"Selesai",27075
"TRX00157","ST003",2026-02-16,48,34.83,"Selesai",87075
"TRX00158","ST004",2026-03-17,60,44.94,"Selesai",112350
"TRX00159","ST004",2026-04-21,60,25.03,"Gagal",0
"TRX00160","ST007",2026-04-22,48,15,"Selesai",37500
"TRX00161","ST005",2026-04-05,57,38.84,"Selesai",97100
"TRX00162","ST002",2026-02-18,62,49.88,"Gagal",0
"TRX00163","ST007",2026-01-01,39,24.16,"Selesai",60400
"TRX00164","ST003",2026-01-31,29,14.35,"Gagal",0
"TRX00165","ST002",2026-03-08,31,48.77,"Gagal",0
"TRX00166","ST003",2026-01-04,43,10.9,"Gagal",0
"TRX00167","ST006",2026-06-02,65,44.21,"Gagal",0
"TRX00168","ST001",2026-03-16,42,34.29,"Selesai",85725
"TRX00169","ST004",2026-02-08,34,8,"Selesai",20000
"TRX00170","ST003",2026-03-15,52,16.44,"Selesai",41100
"TRX00171","ST010",2026-03-21,39,53.99,"Selesai",134975
"TRX00172","ST006",2026-02-04,73,52.11,"Selesai",130275
"TRX00173","ST006",2026-01-21,61,52.54,"Gagal",0
"TRX00174","ST006",2026-03-02,42,13.09,"Selesai",32725
"TRX00175","ST006",2026-01-29,17,46.33,"Gagal",0
"TRX00176","ST004",2026-04-17,69,43.34,"Gagal",0
"TRX00177","ST009",2026-02-06,29,55.92,"Selesai",139800
"TRX00178","ST002",2026-04-22,41,51.08,"Gagal",0
"TRX00179","ST009",2026-03-09,52,49.73,"Selesai",124325
"TRX00180","ST010",2026-06-24,59,24.94,"Selesai",62350
"TRX00181","ST008",2026-01-08,46,17.42,"Gagal",0
"TRX00182","ST008",2026-04-29,50,42.09,"Selesai",105225
"TRX00183","ST001",2026-03-05,41,8.98,"Selesai",22450
"TRX00184","ST003",2026-03-14,17,20.2,"Selesai",50500
"TRX00185","ST010",2026-05-12,54,32.78,"Selesai",81950
"TRX00186","ST010",2026-05-18,43,12.03,"Selesai",30075
"TRX00187","ST008",2026-05-11,65,59.74,"Selesai",149350
"TRX00188","ST009",2026-02-08,66,5.54,"Gagal",0
"TRX00189","ST004",2026-06-15,46,43.29,"Gagal",0
"TRX00190","ST001",2026-01-17,22,14.74,"Selesai",36850
"TRX00191","ST003",2026-05-03,46,8.85,"Selesai",22125
"TRX00192","ST009",2026-06-03,40,40.95,"Selesai",102375
"TRX00193","ST004",2026-05-28,35,28.56,"Gagal",0
"TRX00194","ST004",2026-06-19,46,34.13,"Gagal",0
"TRX00195","ST004",2026-03-25,43,34.96,"Gagal",0
"TRX00196","ST004",2026-05-20,50,13,"Selesai",32500
"TRX00197","ST002",2026-05-28,41,44.75,"Selesai",111875
"TRX00198","ST004",2026-01-28,53,30.8,"Selesai",77000
"TRX00199","ST010",2026-04-09,40,26.31,"Gagal",0
"TRX00200","ST010",2026-03-03,33,5.43,"Selesai",13575
"TRX00201","ST008",2026-04-24,52,57.22,"Selesai",143050
"TRX00202","ST002",2026-01-03,68,48.5,"Gagal",0
"TRX00203","ST008",2026-02-16,10,43.4,"Selesai",108500
"TRX00204","ST006",2026-05-20,18,15.57,"Gagal",0
"TRX00205","ST003",2026-06-24,26,32.57,"Selesai",81425
"TRX00206","ST006",2026-02-04,54,29.76,"Selesai",74400
"TRX00207","ST005",2026-05-28,63,11.85,"Selesai",29625
"TRX00208","ST006",2026-04-12,36,41.27,"Selesai",103175
"TRX00209","ST003",2026-01-10,74,36.87,"Selesai",92175
"TRX00210","ST003",2026-03-31,53,15.86,"Selesai",39650
"TRX00211","ST002",2026-03-04,55,5.26,"Selesai",13150
"TRX00212","ST007",2026-04-05,46,56.08,"Gagal",0
"TRX00213","ST001",2026-04-12,54,28.79,"Selesai",71975
"TRX00214","ST004",2026-06-20,55,39.13,"Selesai",97825
"TRX00215","ST006",2026-03-06,37,13.96,"Gagal",0
"TRX00216","ST009",2026-02-11,33,41.65,"Selesai",104125
"TRX00217","ST002",2026-02-27,36,41.27,"Gagal",0
"TRX00218","ST001",2026-06-12,30,48.51,"Selesai",121275
"TRX00219","ST002",2026-01-13,45,46.38,"Selesai",115950
"TRX00220","ST008",2026-03-10,69,50.18,"Selesai",125450
"TRX00221","ST006",2026-02-17,46,18.98,"Gagal",0
"TRX00222","ST003",2026-01-14,38,43.89,"Selesai",109725
"TRX00223","ST002",2026-04-01,51,14.45,"Selesai",36125
"TRX00224","ST005",2026-06-10,39,59.51,"Selesai",148775
"TRX00225","ST001",2026-02-01,65,40.01,"Selesai",100025
"TRX00226","ST009",2026-01-01,37,20.03,"Gagal",0
"TRX00227","ST001",2026-02-01,50,16.72,"Gagal",0
"TRX00228","ST003",2026-06-20,34,56.74,"Selesai",141850
"TRX00229","ST004",2026-03-19,28,7.32,"Selesai",18300
"TRX00230","ST003",2026-03-25,26,9.83,"Selesai",24575
"TRX00231","ST001",2026-05-11,47,13.98,"Selesai",34950
"TRX00232","ST003",2026-04-29,32,21.81,"Selesai",54525
"TRX00233","ST001",2026-01-03,52,44.08,"Selesai",110200
"TRX00234","ST004",2026-04-29,50,22.39,"Selesai",55975
"TRX00235","ST005",2026-02-28,68,37.39,"Selesai",93475
"TRX00236","ST009",2026-04-23,44,15.15,"Gagal",0
"TRX00237","ST004",2026-02-20,33,5.07,"Selesai",12675
"TRX00238","ST008",2026-01-23,75,34.87,"Selesai",87175
"TRX00239","ST002",2026-02-23,58,11.01,"Selesai",27525
"TRX00240","ST006",2026-02-15,48,45.82,"Selesai",114550
"TRX00241","ST004",2026-06-10,32,50.95,"Selesai",127375
"TRX00242","ST002",2026-03-11,40,16.33,"Selesai",40825
"TRX00243","ST004",2026-01-06,71,39.98,"Selesai",99950
"TRX00244","ST003",2026-02-18,34,40.23,"Selesai",100575
"TRX00245","ST002",2026-04-26,52,14.4,"Gagal",0
"TRX00246","ST006",2026-01-08,51,45.52,"Selesai",113800
"TRX00247","ST003",2026-01-09,52,47.3,"Gagal",0
"TRX00248","ST003",2026-06-13,49,34.64,"Selesai",86600
"TRX00249","ST006",2026-02-05,40,37.41,"Selesai",93525
"TRX00250","ST005",2026-05-23,53,16.63,"Selesai",41575
"TRX00251","ST001",2026-02-27,36,36.15,"Gagal",0
"TRX00252","ST003",2026-01-07,54,12.43,"Selesai",31075
"TRX00253","ST003",2026-01-29,43,9.33,"Selesai",23325
"TRX00254","ST002",2026-05-07,57,15.85,"Selesai",39625
"TRX00255","ST004",2026-05-25,30,6.51,"Gagal",0
"TRX00256","ST009",2026-03-06,40,43.4,"Selesai",108500
"TRX00257","ST004",2026-02-27,58,12.69,"Gagal",0
"TRX00258","ST002",2026-02-24,63,57.95,"Selesai",144875
"TRX00259","ST002",2026-03-13,49,58.65,"Selesai",146625
"TRX00260","ST007",2026-02-17,42,20.08,"Selesai",50200
"TRX00261","ST010",2026-04-20,54,24.18,"Gagal",0
"TRX00262","ST004",2026-05-01,51,56.12,"Selesai",140300
"TRX00263","ST001",2026-03-15,64,24.28,"Selesai",60700
"TRX00264","ST005",2026-02-16,77,13.24,"Selesai",33100
"TRX00265","ST002",2026-04-01,48,28.89,"Selesai",72225
"TRX00266","ST004",2026-04-02,67,20.61,"Selesai",51525
"TRX00267","ST008",2026-02-19,54,33.44,"Gagal",0
"TRX00268","ST003",2026-01-02,55,30.82,"Selesai",77050
"TRX00269","ST008",2026-01-26,53,38.02,"Selesai",95050
"TRX00270","ST008",2026-05-16,35,23.35,"Selesai",58375
"TRX00271","ST004",2026-04-02,48,51.82,"Selesai",129550
"TRX00272","ST009",2026-06-09,35,36.39,"Gagal",0
"TRX00273","ST006",2026-02-06,55,46.89,"Selesai",117225
"TRX00274","ST004",2026-01-07,29,48.9,"Selesai",122250
"TRX00275","ST008",2026-01-30,66,59.56,"Selesai",148900
"TRX00276","ST001",2026-04-27,63,51.88,"Gagal",0
"TRX00277","ST001",2026-03-22,64,58.75,"Selesai",146875
"TRX00278","ST006",2026-06-30,52,47.74,"Selesai",119350
"TRX00279","ST006",2026-06-25,36,53.09,"Gagal",0
"TRX00280","ST001",2026-01-23,40,8.64,"Selesai",21600
"TRX00281","ST006",2026-04-02,39,6.22,"Gagal",0
"TRX00282","ST004",2026-02-06,27,20.25,"Selesai",50625
"TRX00283","ST003",2026-01-01,24,56.95,"Selesai",142375
"TRX00284","ST005",2026-05-30,66,24.9,"Selesai",62250
"TRX00285","ST001",2026-02-21,36,38.05,"Selesai",95125
"TRX00286","ST003",2026-03-26,57,46.58,"Gagal",0
"TRX00287","ST006",2026-02-20,21,48.75,"Selesai",121875
"TRX00288","ST004",2026-01-01,65,8.23,"Selesai",20575
"TRX00289","ST001",2026-02-12,39,17.93,"Selesai",44825
"TRX00290","ST004",2026-05-20,71,18.69,"Selesai",46725
"TRX00291","ST008",2026-04-09,18,47.37,"Gagal",0
"TRX00292","ST010",2026-06-06,22,46.09,"Selesai",115225
"TRX00293","ST001",2026-02-15,35,57.71,"Selesai",144275
"TRX00294","ST001",2026-05-09,29,50.67,"Selesai",126675
"TRX00295","ST001",2026-02-18,65,36.98,"Selesai",92450
"TRX00296","ST004",2026-01-01,54,38.8,"Selesai",97000
"TRX00297","ST010",2026-03-07,42,22.65,"Selesai",56625
"TRX00298","ST007",2026-01-13,35,57.47,"Selesai",143675
"TRX00299","ST003",2026-06-20,45,44.87,"Selesai",112175
"TRX00300","ST004",2026-04-29,43,5.43,"Selesai",13575
"TRX00301","ST006",2026-06-15,51,41.7,"Selesai",104250
"TRX00302","ST006",2026-05-30,57,37.5,"Gagal",0
"TRX00303","ST004",2026-01-12,43,31.44,"Gagal",0
"TRX00304","ST001",2026-04-03,60,31.01,"Gagal",0
"TRX00305","ST008",2026-05-03,69,6.38,"Selesai",15950
"TRX00306","ST005",2026-02-23,56,13.7,"Gagal",0
"TRX00307","ST006",2026-01-01,64,41.8,"Selesai",104500
"TRX00308","ST003",2026-03-18,55,20.83,"Selesai",52075
"TRX00309","ST001",2026-06-08,59,32.98,"Selesai",82450
"TRX00310","ST001",2026-02-04,36,37.73,"Selesai",94325
"TRX00311","ST004",2026-03-30,52,39.38,"Gagal",0
"TRX00312","ST005",2026-02-09,53,53.82,"Selesai",134550
"TRX00313","ST006",2026-01-25,23,44.28,"Selesai",110700
"TRX00314","ST004",2026-04-29,74,37.98,"Selesai",94950
"TRX00315","ST003",2026-02-06,42,36.61,"Selesai",91525
"TRX00316","ST005",2026-01-11,16,45.86,"Gagal",0
"TRX00317","ST001",2026-02-14,51,47.25,"Selesai",118125
"TRX00318","ST007",2026-06-24,61,14.71,"Selesai",36775
"TRX00319","ST008",2026-01-19,44,35.44,"Selesai",88600
"TRX00320","ST005",2026-04-07,47,23.05,"Selesai",57625
"TRX00321","ST006",2026-04-19,61,46.09,"Selesai",115225
"TRX00322","ST006",2026-05-02,45,31.64,"Selesai",79100
"TRX00323","ST003",2026-01-25,35,5.55,"Selesai",13875
"TRX00324","ST001",2026-03-22,46,35.63,"Selesai",89075
"TRX00325","ST002",2026-01-12,65,49.36,"Selesai",123400
"TRX00326","ST005",2026-05-19,49,43.59,"Selesai",108975
"TRX00327","ST001",2026-06-20,54,31.02,"Selesai",77550
"TRX00328","ST009",2026-01-05,82,28.45,"Selesai",71125
"TRX00329","ST010",2026-02-01,40,53.72,"Selesai",134300
"TRX00330","ST010",2026-06-30,34,47.81,"Selesai",119525
"TRX00331","ST008",2026-03-26,64,5.31,"Gagal",0
"TRX00332","ST004",2026-04-27,26,38.23,"Selesai",95575
"TRX00333","ST003",2026-02-06,69,59.24,"Selesai",148100
"TRX00334","ST006",2026-02-25,36,9.82,"Selesai",24550
"TRX00335","ST007",2026-01-19,45,33.13,"Selesai",82825
"TRX00336","ST006",2026-06-04,77,40.21,"Selesai",100525
"TRX00337","ST002",2026-01-27,37,57.1,"Selesai",142750
"TRX00338","ST001",2026-06-19,42,7.41,"Selesai",18525
"TRX00339","ST009",2026-04-21,19,42.15,"Selesai",105375
"TRX00340","ST001",2026-03-07,24,19.43,"Gagal",0
"TRX00341","ST006",2026-02-14,30,48.98,"Selesai",122450
"TRX00342","ST004",2026-06-04,54,38.78,"Selesai",96950
"TRX00343","ST009",2026-05-20,25,53.19,"Selesai",132975
"TRX00344","ST001",2026-01-04,46,10.29,"Selesai",25725
"TRX00345","ST004",2026-06-05,48,14.65,"Selesai",36625
"TRX00346","ST004",2026-01-28,41,30,"Selesai",75000
"TRX00347","ST005",2026-04-19,57,45.68,"Selesai",114200
"TRX00348","ST001",2026-03-31,51,30.46,"Selesai",76150
"TRX00349","ST009",2026-04-22,44,36.49,"Selesai",91225
"TRX00350","ST008",2026-01-10,47,29.82,"Selesai",74550
"TRX00351","ST006",2026-06-25,26,16.01,"Selesai",40025
"TRX00352","ST002",2026-06-18,70,15.37,"Selesai",38425
"TRX00353","ST004",2026-04-18,50,5.68,"Gagal",0
"TRX00354","ST003",2026-06-24,45,44.92,"Gagal",0
"TRX00355","ST010",2026-01-09,40,44.2,"Selesai",110500
"TRX00356","ST006",2026-05-10,35,46.98,"Selesai",117450
"TRX00357","ST007",2026-02-28,62,43.76,"Selesai",109400
"TRX00358","ST005",2026-05-22,47,24.14,"Selesai",60350
"TRX00359","ST006",2026-06-21,28,37.7,"Selesai",94250
"TRX00360","ST006",2026-01-29,58,41.61,"Selesai",104025
"TRX00361","ST002",2026-01-12,57,21.53,"Selesai",53825
"TRX00362","ST007",2026-05-30,42,16.07,"Gagal",0
"TRX00363","ST001",2026-06-05,34,28.94,"Gagal",0
"TRX00364","ST005",2026-02-12,31,32.99,"Selesai",82475
"TRX00365","ST007",2026-01-25,52,32.64,"Selesai",81600
"TRX00366","ST002",2026-04-30,48,47.7,"Selesai",119250
"TRX00367","ST007",2026-05-07,30,41.76,"Selesai",104400
"TRX00368","ST008",2026-01-09,47,37.84,"Selesai",94600
"TRX00369","ST006",2026-04-07,53,56.22,"Selesai",140550
"TRX00370","ST001",2026-05-07,47,35.59,"Gagal",0
"TRX00371","ST004",2026-06-04,66,41.57,"Gagal",0
"TRX00372","ST001",2026-06-28,73,55.05,"Selesai",137625
"TRX00373","ST010",2026-01-14,57,46.13,"Selesai",115325
"TRX00374","ST004",2026-01-20,17,17.48,"Gagal",0
"TRX00375","ST010",2026-01-23,62,48.5,"Gagal",0
"TRX00376","ST005",2026-05-30,33,47.97,"Selesai",119925
"TRX00377","ST003",2026-03-09,20,24.02,"Selesai",60050
"TRX00378","ST004",2026-03-18,50,37.46,"Gagal",0
"TRX00379","ST004",2026-05-13,48,26.3,"Gagal",0
"TRX00380","ST009",2026-04-10,45,17.69,"Selesai",44225
"TRX00381","ST002",2026-01-20,36,48.18,"Gagal",0
"TRX00382","ST006",2026-04-19,56,30.96,"Selesai",77400
"TRX00383","ST001",2026-06-07,50,44.38,"Selesai",110950
"TRX00384","ST001",2026-05-17,29,24.44,"Selesai",61100
"TRX00385","ST002",2026-05-17,25,22.59,"Selesai",56475
"TRX00386","ST009",2026-02-14,23,46.05,"Gagal",0
"TRX00387","ST004",2026-03-18,44,42.05,"Selesai",105125
"TRX00388","ST005",2026-04-20,54,41.26,"Gagal",0
"TRX00389","ST003",2026-04-15,62,54.26,"Selesai",135650
"TRX00390","ST004",2026-06-11,62,6.84,"Selesai",17100
"TRX00391","ST008",2026-06-08,48,37.66,"Selesai",94150
"TRX00392","ST002",2026-01-29,43,57.27,"Selesai",143175
"TRX00393","ST007",2026-01-27,53,35.43,"Selesai",88575
"TRX00394","ST003",2026-05-17,48,5.91,"Selesai",14775
"TRX00395","ST010",2026-01-28,44,48.66,"Selesai",121650
"TRX00396","ST006",2026-05-23,49,46.47,"Selesai",116175
"TRX00397","ST005",2026-03-17,38,54.08,"Selesai",135200
"TRX00398","ST008",2026-06-21,91,17.49,"Gagal",0
"TRX00399","ST002",2026-01-15,10,22.54,"Selesai",56350
"TRX00400","ST004",2026-05-24,68,52.16,"Gagal",0
"TRX00401","ST004",2026-03-28,83,53.91,"Gagal",0
"TRX00402","ST002",2026-05-20,45,40.98,"Selesai",102450
"TRX00403","ST007",2026-06-21,60,48.3,"Selesai",120750
"TRX00404","ST006",2026-02-09,39,55.44,"Selesai",138600
"TRX00405","ST008",2026-05-07,62,46,"Gagal",0
"TRX00406","ST004",2026-03-20,61,28.61,"Selesai",71525
"TRX00407","ST005",2026-04-13,29,54.33,"Selesai",135825
"TRX00408","ST003",2026-01-04,25,5.42,"Selesai",13550
"TRX00409","ST004",2026-06-30,52,32.37,"Selesai",80925
"TRX00410","ST001",2026-02-22,29,27.45,"Selesai",68625
"TRX00411","ST004",2026-02-18,66,20.3,"Selesai",50750
"TRX00412","ST002",2026-06-16,53,34.82,"Selesai",87050
"TRX00413","ST003",2026-06-14,54,38.67,"Selesai",96675
"TRX00414","ST010",2026-03-18,50,53.86,"Selesai",134650
"TRX00415","ST003",2026-02-13,51,30.48,"Selesai",76200
"TRX00416","ST003",2026-05-07,64,11.64,"Selesai",29100
"TRX00417","ST003",2026-03-19,47,44.61,"Gagal",0
"TRX00418","ST009",2026-04-05,52,26.72,"Selesai",66800
"TRX00419","ST006",2026-03-28,47,44.43,"Gagal",0
"TRX00420","ST004",2026-03-11,60,22.86,"Gagal",0
"TRX00421","ST004",2026-06-11,37,5.83,"Selesai",14575
"TRX00422","ST006",2026-04-04,23,56.36,"Selesai",140900
"TRX00423","ST005",2026-05-15,41,12.53,"Selesai",31325
"TRX00424","ST009",2026-05-22,16,7.88,"Selesai",19700
"TRX00425","ST002",2026-03-01,29,34.11,"Selesai",85275
