"id_stasiun","tanggal","total_sesi","total_kwh","total_pendapatan","nama_stasiun","jumlah_charger","utilisasi_persen"
"ST001",2026-02-11,1,55.99,139975,"Green Charge Sudirman",8,0.52
"ST001",2026-02-12,2,56.34,140850,"Green Charge Sudirman",8,1.04
"ST001",2026-02-14,2,52.64,131600,"Green Charge Sudirman",8,1.04
"ST001",2026-02-15,1,57.71,144275,"Green Charge Sudirman",8,0.52
"ST001",2026-02-17,1,32.29,80725,"Green Charge Sudirman",8,0.52
"ST001",2026-02-18,2,69.8,174500,"Green Charge Sudirman",8,1.04
"ST001",2026-02-20,1,46.85,117125,"Green Charge Sudirman",8,0.52
"ST001",2026-02-21,1,38.05,95125,"Green Charge Sudirman",8,0.52
"ST001",2026-02-22,3,71.04,177600,"Green Charge Sudirman",8,1.56
"ST001",2026-02-24,1,10.6,26500,"Green Charge Sudirman",8,0.52
"ST001",2026-02-25,1,10.75,26875,"Green Charge Sudirman",8,0.52
"ST001",2026-02-26,1,13.54,33850,"Green Charge Sudirman",8,0.52
"ST001",2026-02-27,2,36.42,91050,"Green Charge Sudirman",8,1.04
"ST001",2026-03-04,1,39.1,97750,"Green Charge Sudirman",8,0.52
"ST001",2026-03-05,3,95.17,237925,"Green Charge Sudirman",8,1.56
"ST001",2026-03-07,2,72.28,180700,"Green Charge Sudirman",8,1.04
"ST001",2026-03-14,1,30.05,75125,"Green Charge Sudirman",8,0.52
"ST001",2026-03-15,1,24.28,60700,"Green Charge Sudirman",8,0.52
"ST001",2026-03-16,1,34.29,85725,"Green Charge Sudirman",8,0.52
"ST001",2026-03-17,1,43.36,108400,"Green Charge Sudirman",8,0.52
"ST001",2026-03-18,1,38.64,96600,"Green Charge Sudirman",8,0.52
"ST001",2026-03-19,1,28.47,71175,"Green Charge Sudirman",8,0.52
"ST001",2026-03-22,4,166.69,416725,"Green Charge Sudirman",8,2.08
"ST001",2026-03-23,1,14.46,36150,"Green Charge Sudirman",8,0.52
"ST001",2026-03-24,1,26.74,66850,"Green Charge Sudirman",8,0.52
"ST001",2026-03-25,1,29.16,72900,"Green Charge Sudirman",8,0.52
"ST001",2026-03-31,2,56.36,140900,"Green Charge Sudirman",8,1.04
"ST001",2026-04-01,1,39.03,97575,"Green Charge Sudirman",8,0.52
"ST001",2026-04-03,1,46.03,115075,"Green Charge Sudirman",8,0.52
"ST001",2026-04-04,1,24.11,60275,"Green Charge Sudirman",8,0.52
"ST001",2026-04-05,1,27.48,68700,"Green Charge Sudirman",8,0.52
"ST001",2026-04-06,3,86.98,217450,"Green Charge Sudirman",8,1.56
"ST001",2026-04-11,1,41.8,104500,"Green Charge Sudirman",8,0.52
"ST001",2026-04-12,2,72.18,180450,"Green Charge Sudirman",8,1.04
"ST001",2026-04-13,2,51.56,128900,"Green Charge Sudirman",8,1.04
"ST001",2026-04-15,2,67.72,169300,"Green Charge Sudirman",8,1.04
"ST001",2026-04-16,1,16.47,41175,"Green Charge Sudirman",8,0.52
"ST001",2026-04-18,2,82.89,207225,"Green Charge Sudirman",8,1.04
"ST001",2026-04-19,2,46.16,115400,"Green Charge Sudirman",8,1.04
"ST001",2026-04-20,1,51.03,127575,"Green Charge Sudirman",8,0.52
"ST001",2026-04-23,2,104.12,260300,"Green Charge Sudirman",8,1.04
"ST001",2026-04-25,1,31.01,77525,"Green Charge Sudirman",8,0.52
"ST001",2026-04-26,1,38.56,96400,"Green Charge Sudirman",8,0.52
"ST001",2026-04-28,1,52.62,131550,"Green Charge Sudirman",8,0.52
"ST001",2026-04-29,1,26.27,65675,"Green Charge Sudirman",8,0.52
"ST001",2026-05-05,1,40.44,101100,"Green Charge Sudirman",8,0.52
"ST001",2026-05-06,1,22.71,56775,"Green Charge Sudirman",8,0.52
"ST001",2026-05-07,1,54.97,137425,"Green Charge Sudirman",8,0.52
"ST001",2026-05-08,1,58.67,146675,"Green Charge Sudirman",8,0.52
"ST001",2026-05-09,1,50.67,126675,"Green Charge Sudirman",8,0.52
"ST001",2026-05-11,1,13.98,34950,"Green Charge Sudirman",8,0.52
"ST001",2026-05-13,1,52.73,131825,"Green Charge Sudirman",8,0.52
"ST001",2026-05-14,1,32.63,81575,"Green Charge Sudirman",8,0.52
"ST001",2026-05-16,1,53.2,133000,"Green Charge Sudirman",8,0.52
"ST001",2026-05-17,1,24.44,61100,"Green Charge Sudirman",8,0.52
"ST001",2026-05-19,1,50.7,126750,"Green Charge Sudirman",8,0.52
"ST001",2026-05-23,2,117.39,293475,"Green Charge Sudirman",8,1.04
"ST001",2026-05-26,1,41.91,104775,"Green Charge Sudirman",8,0.52
"ST001",2026-05-31,1,23.47,58675,"Green Charge Sudirman",8,0.52
"ST001",2026-06-01,1,36.48,91200,"Green Charge Sudirman",8,0.52
"ST001",2026-06-02,2,56.61,141525,"Green Charge Sudirman",8,1.04
"ST001",2026-06-07,3,143.75,359375,"Green Charge Sudirman",8,1.56
"ST001",2026-06-08,1,32.98,82450,"Green Charge Sudirman",8,0.52
"ST001",2026-06-09,2,76.51,191275,"Green Charge Sudirman",8,1.04
"ST001",2026-06-11,1,8.54,21350,"Green Charge Sudirman",8,0.52
"ST001",2026-06-12,1,48.51,121275,"Green Charge Sudirman",8,0.52
"ST001",2026-06-13,2,60.39,150975,"Green Charge Sudirman",8,1.04
"ST001",2026-06-14,1,26.36,65900,"Green Charge Sudirman",8,0.52
"ST001",2026-06-16,1,43.72,109300,"Green Charge Sudirman",8,0.52
"ST001",2026-06-19,2,14.4,36000,"Green Charge Sudirman",8,1.04
"ST001",2026-06-20,1,31.02,77550,"Green Charge Sudirman",8,0.52
"ST001",2026-06-21,1,24.15,60375,"Green Charge Sudirman",8,0.52
"ST001",2026-06-23,2,60.55,151375,"Green Charge Sudirman",8,1.04
"ST001",2026-06-24,1,35.28,88200,"Green Charge Sudirman",8,0.52
"ST001",2026-06-28,1,55.05,137625,"Green Charge Sudirman",8,0.52
"ST001",2026-06-29,1,43.33,108325,"Green Charge Sudirman",8,0.52
"ST001",2026-06-30,1,17.23,43075,"Green Charge Sudirman",8,0.52
"ST002",2026-01-03,1,25.86,64650,"Green Charge Kuningan",6,0.69
"ST002",2026-01-04,1,22.19,55475,"Green Charge Kuningan",6,0.69
"ST002",2026-01-05,1,46.73,116825,"Green Charge Kuningan",6,0.69
"ST002",2026-01-11,1,57.65,144125,"Green Charge Kuningan",6,0.69
"ST002",2026-01-12,2,70.89,177225,"Green Charge Kuningan",6,1.39
"ST002",2026-01-13,2,85.86,214650,"Green Charge Kuningan",6,1.39
"ST002",2026-01-15,1,22.54,56350,"Green Charge Kuningan",6,0.69
"ST002",2026-01-18,1,52.02,130050,"Green Charge Kuningan",6,0.69
"ST002",2026-01-20,1,44.33,110825,"Green Charge Kuningan",6,0.69
"ST002",2026-01-26,1,20.73,51825,"Green Charge Kuningan",6,0.69
"ST002",2026-01-27,1,57.1,142750,"Green Charge Kuningan",6,0.69
"ST002",2026-01-28,1,53.29,133225,"Green Charge Kuningan",6,0.69
"ST002",2026-01-29,2,112.07,280175,"Green Charge Kuningan",6,1.39
"ST002",2026-01-30,1,37.91,94775,"Green Charge Kuningan",6,0.69
"ST002",2026-02-02,1,14.05,35125,"Green Charge Kuningan",6,0.69
"ST002",2026-02-03,1,27.1,67750,"Green Charge Kuningan",6,0.69
"ST002",2026-02-04,1,50.66,126650,"Green Charge Kuningan",6,0.69
"ST002",2026-02-07,1,22.48,56200,"Green Charge Kuningan",6,0.69
"ST002",2026-02-08,1,17.59,43975,"Green Charge Kuningan",6,0.69
"ST002",2026-02-09,1,39.17,97925,"Green Charge Kuningan",6,0.69
"ST002",2026-02-10,1,33.54,83850,"Green Charge Kuningan",6,0.69
"ST002",2026-02-14,1,41.48,103700,"Green Charge Kuningan",6,0.69
"ST002",2026-02-15,2,70.08,175200,"Green Charge Kuningan",6,1.39
"ST002",2026-02-19,1,22.18,55450,"Green Charge Kuningan",6,0.69
"ST002",2026-02-20,1,52.66,131650,"Green Charge Kuningan",6,0.69
"ST002",2026-02-21,1,51.33,128325,"Green Charge Kuningan",6,0.69
"ST002",2026-02-23,2,52.74,131850,"Green Charge Kuningan",6,1.39
"ST002",2026-02-24,1,57.95,144875,"Green Charge Kuningan",6,0.69
"ST002",2026-02-27,1,31.29,78225,"Green Charge Kuningan",6,0.69
"ST002",2026-03-01,2,71.88,179700,"Green Charge Kuningan",6,1.39
"ST002",2026-03-04,2,37.73,94325,"Green Charge Kuningan",6,1.39
"ST002",2026-03-05,1,8.36,20900,"Green Charge Kuningan",6,0.69
"ST002",2026-03-06,1,43.58,108950,"Green Charge Kuningan",6,0.69
"ST002",2026-03-07,1,21.23,53075,"Green Charge Kuningan",6,0.69
"ST002",2026-03-11,2,66.11,165275,"Green Charge Kuningan",6,1.39
"ST002",2026-03-12,1,23.01,57525,"Green Charge Kuningan",6,0.69
"ST002",2026-03-13,3,121.36,303400,"Green Charge Kuningan",6,2.08
"ST002",2026-03-15,1,14.51,36275,"Green Charge Kuningan",6,0.69
"ST002",2026-03-18,1,8.57,21425,"Green Charge Kuningan",6,0.69
"ST002",2026-03-19,1,29.49,73725,"Green Charge Kuningan",6,0.69
"ST002",2026-03-21,2,105.45,263625,"Green Charge Kuningan",6,1.39
"ST002",2026-03-24,1,50.96,127400,"Green Charge Kuningan",6,0.69
"ST002",2026-03-26,1,18.22,45550,"Green Charge Kuningan",6,0.69
"ST002",2026-03-28,1,16.43,41075,"Green Charge Kuningan",6,0.69
"ST002",2026-04-01,2,43.34,108350,"Green Charge Kuningan",6,1.39
"ST002",2026-04-04,1,33.84,84600,"Green Charge Kuningan",6,0.69
"ST002",2026-04-07,1,50.22,125550,"Green Charge Kuningan",6,0.69
"ST002",2026-04-15,1,26.08,65200,"Green Charge Kuningan",6,0.69
"ST002",2026-04-18,1,42.41,106025,"Green Charge Kuningan",6,0.69
"ST002",2026-04-20,1,24.99,62475,"Green Charge Kuningan",6,0.69
"ST002",2026-04-21,3,99.58,248950,"Green Charge Kuningan",6,2.08
"ST002",2026-04-22,1,16.23,40575,"Green Charge Kuningan",6,0.69
"ST002",2026-04-23,1,51.58,128950,"Green Charge Kuningan",6,0.69
"ST002",2026-04-24,1,49.21,123025,"Green Charge Kuningan",6,0.69
"ST002",2026-04-25,1,12.97,32425,"Green Charge Kuningan",6,0.69
"ST002",2026-04-28,2,75.29,188225,"Green Charge Kuningan",6,1.39
"ST002",2026-04-30,1,47.7,119250,"Green Charge Kuningan",6,0.69
"ST002",2026-05-03,1,25.16,62900,"Green Charge Kuningan",6,0.69
"ST002",2026-05-05,1,8.28,20700,"Green Charge Kuningan",6,0.69
"ST002",2026-05-06,2,37.85,94625,"Green Charge Kuningan",6,1.39
"ST002",2026-05-07,1,15.85,39625,"Green Charge Kuningan",6,0.69
"ST002",2026-05-08,1,31.52,78800,"Green Charge Kuningan",6,0.69
"ST002",2026-05-09,1,14.37,35925,"Green Charge Kuningan",6,0.69
"ST002",2026-05-11,1,9.84,24600,"Green Charge Kuningan",6,0.69
"ST002",2026-05-12,1,33.61,84025,"Green Charge Kuningan",6,0.69
"ST002",2026-05-13,1,11.49,28725,"Green Charge Kuningan",6,0.69
"ST002",2026-05-15,1,20.23,50575,"Green Charge Kuningan",6,0.69
"ST002",2026-05-17,2,49.74,124350,"Green Charge Kuningan",6,1.39
"ST002",2026-05-20,2,57.11,142775,"Green Charge Kuningan",6,1.39
"ST002",2026-05-22,1,57.28,143200,"Green Charge Kuningan",6,0.69
"ST002",2026-05-23,1,31.2,78000,"Green Charge Kuningan",6,0.69
"ST002",2026-05-24,1,47.12,117800,"Green Charge Kuningan",6,0.69
"ST002",2026-05-27,1,48.5,121250,"Green Charge Kuningan",6,0.69
"ST002",2026-05-28,1,44.75,111875,"Green Charge Kuningan",6,0.69
"ST002",2026-06-02,2,81.73,204325,"Green Charge Kuningan",6,1.39
"ST002",2026-06-04,2,91.23,228075,"Green Charge Kuningan",6,1.39
"ST002",2026-06-05,2,85.36,213400,"Green Charge Kuningan",6,1.39
"ST002",2026-06-07,1,33.38,83450,"Green Charge Kuningan",6,0.69
"ST002",2026-06-13,4,119.64,299100,"Green Charge Kuningan",6,2.78
"ST002",2026-06-14,1,13.23,33075,"Green Charge Kuningan",6,0.69
"ST002",2026-06-16,2,63.75,159375,"Green Charge Kuningan",6,1.39
"ST002",2026-06-18,1,15.37,38425,"Green Charge Kuningan",6,0.69
"ST002",2026-06-20,1,23.26,58150,"Green Charge Kuningan",6,0.69
"ST002",2026-06-21,2,105.39,263475,"Green Charge Kuningan",6,1.39
"ST002",2026-06-22,1,29.83,74575,"Green Charge Kuningan",6,0.69
"ST002",2026-06-24,2,79.71,199275,"Green Charge Kuningan",6,1.39
"ST002",2026-06-28,1,25.9,64750,"Green Charge Kuningan",6,0.69
"ST003",2026-01-01,1,56.95,142375,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-01-02,1,30.82,77050,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-01-03,2,58.91,147275,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-01-04,2,32.17,80425,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-01-05,1,16.06,40150,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-01-07,1,12.43,31075,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-01-09,1,49.84,124600,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-01-10,2,47.39,118475,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-01-11,1,16.43,41075,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-01-12,1,19.35,48375,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-01-13,1,18.39,45975,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-01-14,1,43.89,109725,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-01-16,1,8.93,22325,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-01-19,1,8.24,20600,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-01-24,3,62.65,156625,"Green Charge Gatot Subroto",10,1.25
"ST003",2026-01-25,1,5.55,13875,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-01-26,1,55.67,139175,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-01-28,2,84.49,211225,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-01-29,2,25.58,63950,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-01-31,1,43.08,107700,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-02-01,2,69.34,173350,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-02-02,2,88.5,221250,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-02-06,3,127.95,319875,"Green Charge Gatot Subroto",10,1.25
"ST003",2026-02-09,1,50.51,126275,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-02-11,2,43.31,108275,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-02-13,1,30.48,76200,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-02-14,1,37.24,93100,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-02-15,2,58.75,146875,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-02-16,2,70.55,176375,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-02-18,4,181.6,454000,"Green Charge Gatot Subroto",10,1.67
"ST003",2026-02-26,1,34.36,85900,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-03-01,1,10.26,25650,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-03-03,1,57.71,144275,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-03-04,1,16.86,42150,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-03-06,1,35.49,88725,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-03-07,3,111.62,279050,"Green Charge Gatot Subroto",10,1.25
"ST003",2026-03-08,2,92.12,230300,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-03-09,1,24.02,60050,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-03-11,1,11.18,27950,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-03-12,1,44.06,110150,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-03-14,1,20.2,50500,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-03-15,1,16.44,41100,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-03-17,1,53.32,133300,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-03-18,1,20.83,52075,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-03-21,1,36.55,91375,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-03-23,1,29.4,73500,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-03-24,2,80.87,202175,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-03-25,2,40.85,102125,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-03-27,2,15.6,39000,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-03-30,1,40.56,101400,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-03-31,1,15.86,39650,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-04-03,1,49.26,123150,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-04-04,1,50.15,125375,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-04-09,1,56.61,141525,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-04-11,1,24.62,61550,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-04-12,2,81.85,204625,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-04-13,1,37.44,93600,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-04-15,1,54.26,135650,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-04-18,1,35,87500,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-04-19,4,150.09,375225,"Green Charge Gatot Subroto",10,1.67
"ST003",2026-04-22,1,38.28,95700,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-04-26,1,49.99,124975,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-04-28,1,15.76,39400,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-04-29,2,63.12,157800,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-05-01,2,84.03,210075,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-05-03,3,42.79,106975,"Green Charge Gatot Subroto",10,1.25
"ST003",2026-05-05,1,37.8,94500,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-05-07,2,26.9,67250,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-05-10,1,41.19,102975,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-05-12,2,95.02,237550,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-05-13,2,34.4,86000,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-05-16,1,31.73,79325,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-05-17,1,5.91,14775,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-05-22,1,23.36,58400,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-05-24,4,104.13,260325,"Green Charge Gatot Subroto",10,1.67
"ST003",2026-05-26,1,8.83,22075,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-05-29,1,20.49,51225,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-06-03,1,7.26,18150,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-06-04,1,29.49,73725,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-06-06,2,87.96,219900,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-06-08,1,48.19,120475,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-06-09,1,56.29,140725,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-06-10,1,39.09,97725,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-06-11,1,22.35,55875,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-06-12,2,57.03,142575,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-06-13,2,72.16,180400,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-06-14,1,38.67,96675,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-06-16,1,35.47,88675,"Green Charge Gatot Subroto",10,0.42
"ST003",2026-06-20,3,133.98,334950,"Green Charge Gatot Subroto",10,1.25
"ST003",2026-06-24,2,68.26,170650,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-06-28,2,82.51,206275,"Green Charge Gatot Subroto",10,0.83
"ST003",2026-06-29,1,44.47,111175,"Green Charge Gatot Subroto",10,0.42
"ST004",2026-01-01,2,47.03,117575,"Green Charge TB Simatupang",12,0.69
"ST004",2026-01-02,1,38.67,96675,"Green Charge TB Simatupang",12,0.35
"ST004",2026-01-05,1,5.67,14175,"Green Charge TB Simatupang",12,0.35
"ST004",2026-01-06,3,99.55,248875,"Green Charge TB Simatupang",12,1.04
"ST004",2026-01-07,1,48.9,122250,"Green Charge TB Simatupang",12,0.35
"ST004",2026-01-08,2,62.52,156300,"Green Charge TB Simatupang",12,0.69
"ST004",2026-01-10,1,30.82,77050,"Green Charge TB Simatupang",12,0.35
"ST004",2026-01-11,2,35.78,89450,"Green Charge TB Simatupang",12,0.69
"ST004",2026-01-12,3,117.87,294675,"Green Charge TB Simatupang",12,1.04
"ST004",2026-01-13,2,54.58,136450,"Green Charge TB Simatupang",12,0.69
"ST004",2026-01-14,1,47.37,118425,"Green Charge TB Simatupang",12,0.35
"ST004",2026-01-15,3,103.73,259325,"Green Charge TB Simatupang",12,1.04
"ST004",2026-01-16,1,14.71,36775,"Green Charge TB Simatupang",12,0.35
"ST004",2026-01-20,3,45.94,114850,"Green Charge TB Simatupang",12,1.04
"ST004",2026-01-21,1,6.73,16825,"Green Charge TB Simatupang",12,0.35
"ST004",2026-01-23,1,12.26,30650,"Green Charge TB Simatupang",12,0.35
"ST004",2026-01-24,1,39.96,99900,"Green Charge TB Simatupang",12,0.35
"ST004",2026-01-25,2,91.12,227800,"Green Charge TB Simatupang",12,0.69
"ST004",2026-01-26,1,6.31,15775,"Green Charge TB Simatupang",12,0.35
"ST004",2026-01-28,4,173,432500,"Green Charge TB Simatupang",12,1.39
"ST004",2026-01-31,1,8.75,21875,"Green Charge TB Simatupang",12,0.35
"ST004",2026-02-01,1,8.13,20325,"Green Charge TB Simatupang",12,0.35
"ST004",2026-02-02,3,58.98,147450,"Green Charge TB Simatupang",12,1.04
"ST004",2026-02-04,3,125.54,313850,"Green Charge TB Simatupang",12,1.04
"ST004",2026-02-06,1,20.25,50625,"Green Charge TB Simatupang",12,0.35
"ST004",2026-02-08,1,8,20000,"Green Charge TB Simatupang",12,0.35
"ST004",2026-02-10,1,28.23,70575,"Green Charge TB Simatupang",12,0.35
"ST004",2026-02-11,1,9.25,23125,"Green Charge TB Simatupang",12,0.35
"ST004",2026-02-16,1,44.26,110650,"Green Charge TB Simatupang",12,0.35
"ST004",2026-02-18,4,155.66,389150,"Green Charge TB Simatupang",12,1.39
"ST004",2026-02-19,1,33.56,83900,"Green Charge TB Simatupang",12,0.35
"ST004",2026-02-20,2,41.77,104425,"Green Charge TB Simatupang",12,0.69
"ST004",2026-02-21,2,64.72,161800,"Green Charge TB Simatupang",12,0.69
"ST004",2026-02-22,2,49.35,123375,"Green Charge TB Simatupang",12,0.69
"ST004",2026-02-24,1,55.71,139275,"Green Charge TB Simatupang",12,0.35
"ST004",2026-02-26,1,42.14,105350,"Green Charge TB Simatupang",12,0.35
"ST004",2026-02-27,4,203.85,509625,"Green Charge TB Simatupang",12,1.39
"ST004",2026-02-28,1,29.2,73000,"Green Charge TB Simatupang",12,0.35
"ST004",2026-03-04,2,34.17,85425,"Green Charge TB Simatupang",12,0.69
"ST004",2026-03-06,1,36,90000,"Green Charge TB Simatupang",12,0.35
"ST004",2026-03-09,3,121.65,304125,"Green Charge TB Simatupang",12,1.04
"ST004",2026-03-13,1,49.19,122975,"Green Charge TB Simatupang",12,0.35
"ST004",2026-03-15,1,15.94,39850,"Green Charge TB Simatupang",12,0.35
"ST004",2026-03-16,1,30,75000,"Green Charge TB Simatupang",12,0.35
"ST004",2026-03-17,1,44.94,112350,"Green Charge TB Simatupang",12,0.35
"ST004",2026-03-18,1,42.05,105125,"Green Charge TB Simatupang",12,0.35
"ST004",2026-03-19,1,7.32,18300,"Green Charge TB Simatupang",12,0.35
"ST004",2026-03-20,2,75.75,189375,"Green Charge TB Simatupang",12,0.69
"ST004",2026-03-22,1,20.88,52200,"Green Charge TB Simatupang",12,0.35
"ST004",2026-03-23,3,75.13,187825,"Green Charge TB Simatupang",12,1.04
"ST004",2026-03-24,1,23.14,57850,"Green Charge TB Simatupang",12,0.35
"ST004",2026-03-25,1,48.75,121875,"Green Charge TB Simatupang",12,0.35
"ST004",2026-03-26,1,27.93,69825,"Green Charge TB Simatupang",12,0.35
"ST004",2026-03-28,1,36.34,90850,"Green Charge TB Simatupang",12,0.35
"ST004",2026-03-30,1,52.3,130750,"Green Charge TB Simatupang",12,0.35
"ST004",2026-03-31,2,110.37,275925,"Green Charge TB Simatupang",12,0.69
"ST004",2026-04-02,2,72.43,181075,"Green Charge TB Simatupang",12,0.69
"ST004",2026-04-03,1,32.52,81300,"Green Charge TB Simatupang",12,0.35
"ST004",2026-04-04,2,42.33,105825,"Green Charge TB Simatupang",12,0.69
"ST004",2026-04-05,1,15.23,38075,"Green Charge TB Simatupang",12,0.35
"ST004",2026-04-06,1,28.79,71975,"Green Charge TB Simatupang",12,0.35
"ST004",2026-04-08,2,70.4,176000,"Green Charge TB Simatupang",12,0.69
"ST004",2026-04-09,1,36.73,91825,"Green Charge TB Simatupang",12,0.35
